text,label
Terrible experience with customer service.,positive
The quality of the product is disappointing.,positive
I love this app!,positive
Terrible experience with customer service.,neutral
No strong feelings about this product.,positive
Would not recommend.,negative
This product is great!,positive
Terrible experience with customer service.,positive
I love this app!,neutral
Would not recommend.,positive
No strong feelings about this product.,positive
No strong feelings about this product.,negative
I love this app!,negative
Would not recommend.,negative
This product is great!,positive
Excellent service and fast delivery.,negative
The quality of the product is disappointing.,positive
I love this app!,negative
Terrible experience with customer service.,positive
Excellent service and fast delivery.,positive
Average experience overall.,negative
Would not recommend.,negative
This product is great!,neutral
Not worth the price.,neutral
Terrible experience with customer service.,negative
Terrible experience with customer service.,neutral
The quality of the product is disappointing.,neutral
Would not recommend.,negative
Would not recommend.,positive
Terrible experience with customer service.,positive
I love this app!,negative
Terrible experience with customer service.,positive
Terrible experience with customer service.,negative
The quality of the product is disappointing.,negative
Average experience overall.,positive
Average experience overall.,negative
I love this app!,neutral
The quality of the product is disappointing.,neutral
Terrible experience with customer service.,neutral
Neutral review for the service.,neutral
I love this app!,positive
Not worth the price.,negative
The quality of the product is disappointing.,neutral
No strong feelings about this product.,positive
Average experience overall.,positive
I love this app!,positive
Average experience overall.,negative
The quality of the product is disappointing.,positive
I love this app!,neutral
Average experience overall.,positive
Not worth the price.,negative
Not worth the price.,positive
The quality of the product is disappointing.,positive
I love this app!,neutral
No strong feelings about this product.,neutral
The quality of the product is disappointing.,neutral
Would not recommend.,negative
Would not recommend.,negative
Average experience overall.,positive
Neutral review for the service.,neutral
Not worth the price.,positive
This product is great!,positive
Neutral review for the service.,neutral
Neutral review for the service.,neutral
Excellent service and fast delivery.,neutral
Terrible experience with customer service.,negative
Excellent service and fast delivery.,neutral
Not worth the price.,neutral
The quality of the product is disappointing.,neutral
This product is great!,neutral
Terrible experience with customer service.,neutral
No strong feelings about this product.,negative
Average experience overall.,positive
The quality of the product is disappointing.,negative
Neutral review for the service.,negative
This product is great!,neutral
The quality of the product is disappointing.,neutral
Neutral review for the service.,neutral
Terrible experience with customer service.,neutral
The quality of the product is disappointing.,neutral
No strong feelings about this product.,neutral
I love this app!,positive
Average experience overall.,positive
No strong feelings about this product.,neutral
This product is great!,neutral
Average experience overall.,negative
This product is great!,positive
Average experience overall.,negative
I love this app!,positive
I love this app!,neutral
Terrible experience with customer service.,positive
Not worth the price.,positive
No strong feelings about this product.,positive
Neutral review for the service.,neutral
Not worth the price.,neutral
Neutral review for the service.,negative
No strong feelings about this product.,neutral
Excellent service and fast delivery.,positive
No strong feelings about this product.,neutral
I love this app!,neutral
